Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
03/20/2020,0.61,0.73,0.83,1.18,22.43,-0.34775541795665643,-0.4760526315789474,-0.5249380804953558,-42.329649635036496,-42.329649635036496
03/21/2022,1.96,2.15,2.28,2.48,112.12,1.0722445820433435,0.9739473684210525,0.7750619195046442,47.36035036496351,47.36035036496351
03/22/2021,0.27,0.76,1.37,1.94,61.55,-0.3177554179566564,0.06394736842105275,0.23506191950464417,-3.2096496350364987,-3.2096496350364987
03/22/2022,2.02,2.23,2.37,2.58,111.76,1.1522445820433436,1.0639473684210528,0.8750619195046443,47.00035036496351,47.00035036496351
03/23/2020,0.56,0.65,0.74,1.15,23.36,-0.4277554179566564,-0.5660526315789474,-0.5549380804953559,-41.399649635036496,-41.399649635036496
03/23/2021,0.26,0.73,1.32,1.88,57.76,-0.34775541795665643,0.013947368421052708,0.17506191950464411,-6.999649635036498,-6.999649635036498
03/23/2022,1.99,2.17,2.23,2.44,114.93,1.0922445820433435,0.9239473684210526,0.7350619195046442,50.17035036496351,50.17035036496351
03/24/2020,0.64,0.72,0.81,1.21,24.01,-0.35775541795665644,-0.4960526315789473,-0.4949380804953558,-40.74964963503649,-40.74964963503649
03/24/2021,0.24,0.7,1.29,1.84,61.18,-0.37775541795665646,-0.01605263157894732,0.1350619195046443,-3.579649635036496,-3.579649635036496
03/24/2022,2.07,2.24,2.3,2.48,112.34,1.1622445820433438,0.9939473684210525,0.7750619195046442,47.58035036496351,47.58035036496351
03/25/2020,0.66,0.75,0.84,1.25,24.49,-0.3277554179566564,-0.4660526315789474,-0.4549380804953558,-40.2696496350365,-40.2696496350365
03/25/2021,0.23,0.68,1.28,1.84,58.56,-0.39775541795665637,-0.026052631578947327,0.1350619195046443,-6.199649635036494,-6.199649635036494
03/25/2022,2.26,2.46,2.52,2.58,113.9,1.3822445820433436,1.2139473684210527,0.8750619195046443,49.14035036496351,49.14035036496351
03/26/2020,0.64,0.73,0.81,1.23,22.6,-0.34775541795665643,-0.4960526315789473,-0.4749380804953558,-42.159649635036494,-42.159649635036494
03/26/2021,0.23,0.7,1.32,1.88,60.97,-0.37775541795665646,0.013947368421052708,0.17506191950464411,-3.789649635036497,-3.789649635036497
03/27/2020,0.47,0.59,0.68,1.15,21.51,-0.48775541795665645,-0.6260526315789473,-0.5549380804953559,-43.24964963503649,-43.24964963503649
